"order_id,order_date,region,country,city,customer_id,customer_segment,product_category,product_subcategory,product_name,quantity,unit_price,discount,shipping_cost,profit"
"1001,2024-01-05,APAC,India,Mumbai,C001,Consumer,Furniture,Chairs,Ergo Chair,2,120,0.10,15,30"
"1002,2024-01-06,EMEA,Germany,Berlin,C002,Corporate,Technology,Phones,iPhone 14,1,900,0.05,20,150"
"1003,2024-01-07,APAC,India,Delhi,C003,Home Office,Office Supplies,Binders,Binder Set,5,15,0.00,5,25"
"1004,2024-02-01,NA,USA,New York,C004,Consumer,Technology,Laptops,MacBook Air,1,1200,0.07,25,200"
"1005,2024-02-03,EMEA,UK,London,C005,Corporate,Furniture,Tables,Office Desk,1,300,0.15,30,50"
"1006,2024-02-10,APAC,India,Bangalore,C006,Consumer,Technology,Accessories,Mouse,3,25,0.00,5,15"
"1007,2024-03-01,NA,USA,Chicago,C007,Home Office,Office Supplies,Paper,A4 Paper Pack,10,8,0.02,3,20"
"1008,2024-03-05,EMEA,France,Paris,C008,Consumer,Technology,Phones,Samsung Galaxy,2,700,0.08,18,120"
"1009,2024-03-07,APAC,India,Mumbai,C001,Consumer,Furniture,Chairs,Ergo Chair,1,120,0.10,15,12"
"1010,2024-03-10,NA,USA,San Francisco,C009,Corporate,Technology,Laptops,Dell XPS,2,1100,0.06,22,180"
